Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
161,NRGN,EC-aPCV,-2.17808770849348,-2.67661665031709,-2.57783635895423,-1.00438302674604,7.96442913690125,1.03138586620017e-21,0.574224585963687,PASS,
166,SLPI,EC-tip,-2.91056891333124,-2.44520028059748,-2.27865459328949,-1.00362636316494,7.30265054159399,7.792069794772281e-149,0.5719518855866935,PASS,
167,UBE2C,Mɸ1-LYVE1,-2.19421748736114,-1.8887882582198,-1.72372120497575,-0.223462512099944,7.23091613503563,6.26854932908807e-126,0.5714112531808123,PASS,
168,RRBP1,Prv-CCL19,-1.31228168850341,-2.26654341302344,-2.41424049273774,-0.479515717101239,8.54358910027365,2.59125914875531e-74,0.5710614941552249,PASS,
169,SMIM3,EC-PCV,-1.88751870254631,-1.91766111325766,-1.91022291275427,-0.236069808379105,7.93709382226855,2.28649403515782e-18,0.5709567768140715,PASS,
172,LAMC3,Prv-CCL19,-2.21666815278819,-2.29242668741865,-2.33811023039586,-0.763576967431146,8.2633145732383,2.33231422447638e-55,0.5705187971967717,PASS,
173,ENPP2,EC-tip,-1.94834890460381,-3.54026064815905,-3.58366655239017,-1.79671691290429,10.0131992396415,1.40445233524075e-153,0.5704495298067339,PASS,
174,IL22RA2,cDC2,-3.92047471700192,-1.35432028237747,-2.17133641813396,-0.603506742909485,7.18215773361701,1.14926941451938e-14,0.5703988526537015,PASS,
175,CABP1,EC-tip,-2.6302176601041,-1.6157747711527,-1.9468011624971,-0.310837234741309,7.36933842950832,8.12915099157896e-162,0.570229326158874,PASS,
178,TTYH1,Prv-CCL19,-2.15907485008464,-2.16187915267331,-2.1355836315976,-0.620831050326778,8.29213350523156,9.04018300537372e-44,0.568588656081933,PASS,
179,IL1RN,cDC2,-3.19416251355083,-1.43082838405462,-1.92771518717625,-0.388407947718418,7.06085750699674,9.60243629141198e-16,0.5684505365539453,PASS,
