Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
3049,ADSSL1,Mɸ1-LYVE1,0.295430761310874,0.337715846013758,1.47226251347453,0.581125007412803,7.23409247929711,1.35922083023949e-27,0.4844612648233865,PASS,
3050,RASAL2,Prv-CCL19,1.50112965203102,1.27943141556877,1.79853450918435,1.29539646505707,8.48598706908363,3.29861799717964e-15,0.48442166253779795,PASS,
3051,CDKN2C,EC-tip,1.54279121646108,0.477877097318058,0.347007693452862,0.587300291316237,7.31487657761085,2.596623772641e-42,0.4844171939747014,PASS,
3052,FAM129A,Mɸ4-infiltrated,0.333135242063367,0.940287002076454,1.83769650124939,0.927425475052518,8.0347141508613,4.118788547916e-41,0.4844117219477922,PASS,
3053,ARHGAP18,Mɸ4-infiltrated,1.46954391436763,1.11562263951138,1.62559972068914,1.17474830245679,8.74826383889175,1.85329443858668e-44,0.4844084886479878,PASS,
3054,CCR1,B cell,1.12610305082701,0.126873988671012,0.277893178167389,0.347195639405562,8.31326192583467,1.1445431176874e-11,0.4843692856221466,PASS,
3055,PRKAR2B,EC-tip,1.86724206708273,0.269591357923966,0.235196918293909,0.545694882222676,7.36512807660846,1.32535103660123e-81,0.48434537753333473,PASS,
3056,TSPAN7,EC-PCV,0.372376021849628,1.02644138442902,1.04945018622017,0.752685510351628,9.21318139764363,1.80041612572032e-07,0.4843402022927904,PASS,
3057,POMP,EC-aPCV,-0.258131476773239,-0.554949304597574,-0.709983451786984,-0.452279828570756,8.7525728049354,6.80391646355343e-05,0.4843352632139939,PASS,
3058,CST7,Mɸ4-infiltrated,0.229280001504543,1.74984454141219,0.0346618534112462,0.736189555206948,7.35918787083505,6.20966422617454e-48,0.48432344853083736,PASS,
3059,MYL12B,EC-tip,-0.694073329090216,-0.193058497845426,-0.197315702466307,-0.263480165256552,9.70669057066136,1.12347965746379e-46,0.48432266311741073,PASS,
3060,KRT5,B cell,0.849792390055248,0.0275364520139931,0.203734205257991,0.234912511812109,8.29747233669562,1.29947587674722e-12,0.4842521411089683,PASS,
3061,EEF1A1,EC-aPCV,-0.288071875905037,-0.0835619445805572,-0.0272637834764719,-0.0956380910437853,12.9847470799245,3.54467163793203e-06,0.48424964242023205,PASS,
