Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
94,CAVIN2,cDC2,1.73127207804816,2.03025169376357,2.7575335664635,0.0991160596070146,7.05491680836726,4.11325077137428e-17,0.5951112958263313,PASS,
95,PLCXD3,EC-PCV,1.42203640750551,2.51273567150617,2.42879262422872,0.174979157545419,8.37439278007235,5.0798820743821e-14,0.5946778107025604,PASS,
96,INMT,Prv-CCL19,1.2918168278297,2.86005074823344,2.41083982046448,0.3528083124193,8.57087813663289,2.40590227351187e-52,0.5946729849355633,PASS,
100,PTGDS,EC-PCV,1.00065727830592,4.65665205744939,4.20062212176265,1.89437158000272,9.26998735226935,4.16368664282904e-24,0.5942290041894366,PASS,
104,ZFP36,dS2,2.5094416407543,4.22140989947054,0.657896278152531,0.74800728226523,8.62054505251987,0,0.5927738106705953,PASS,
105,PLAT,EC-PCV,0.664265134921543,2.84446147618072,2.73367486072612,0.284637161914195,9.88279100105663,2.31558447470937e-37,0.592621701626333,PASS,
106,AQP1,EC-tip,3.05773441713297,3.56316923179213,3.76155545124571,1.87693453007496,9.26103832984976,9.47554878298345e-166,0.5923652326705457,PASS,
107,TTN,Mɸ1-LYVE1,2.35068229198686,2.94488410750105,1.91888254510982,0.616371082704353,7.49657207871239,3.75962993928023e-28,0.5918119620682305,PASS,
108,MTUS1,EC-aPCV,3.11132295889872,2.25209006944722,2.21725448476785,0.595479582942259,8.72469034601353,1.64872932038666e-16,0.5898698387291765,PASS,
109,FN1,EC-aPCV,4.37495566765182,2.72296342456107,2.70783786940701,1.42285421686762,8.27798017547549,2.5296672264664e-19,0.5896737003736862,PASS,
110,ADAMTS1,EC-tip,1.17041783294283,3.25270811066824,2.1114755226143,0.522374735288173,7.99628056171369,1.22381811864845e-93,0.589383176299347,PASS,
114,CD36,Mɸ1-LYVE1,3.13598933333948,2.49740916240577,1.79807625705936,0.603309692965139,8.6878647411374,2.78265795629516e-88,0.587929126924809,PASS,
116,FKBP5,cDC2,3.2711128314807,1.45318545734959,1.91094600477032,0.0086032320062529,8.14480743660684,1.46620992567327e-48,0.5861918652369318,PASS,
118,MYADM,EC-aPCV,1.52189168467711,2.47470391686898,2.10036999843489,0.232819832862972,8.28843824190786,1.61383827787111e-10,0.5857148720790684,PASS,
119,AC020916.1,EC-aPCV,1.96690823732833,2.80096015621873,2.02072008883272,0.571059285298761,8.33711163228762,5.3859573332368e-30,0.5854186515586376,PASS,
121,EMP1,EC-aPCV,2.22320964448714,2.38959266054024,2.24160631510165,0.510228400078427,9.31873706277544,3.39243595881704e-06,0.5849138971164949,PASS,
123,COL15A1,EC-PCV,0.846331143242793,2.68709274310326,3.15772937871672,0.626697879479386,8.39321845715052,8.50188723082068e-27,0.5839564523095737,PASS,
124,DDIT4,cDC2,3.07472293413856,1.6142905141815,1.84726458623432,0.0985323180544574,8.09770312524495,7.7071791995051e-30,0.5835656292589969,PASS,
125,CXCL12,EC-tip,0.838989238493732,3.82777122822624,3.04429121933044,1.2214703387469,7.31708232527547,1.15019055990362e-124,0.5833563872238811,PASS,
127,FOXC1,EC-aPCV,1.61580972481812,2.51879202911398,2.21797813515681,0.418576121328877,8.4787492846229,1.53884415639122e-11,0.5826549578359999,PASS,
129,C1QB,Mɸ4-infiltrated,2.89472356263187,2.76010651307991,2.6352230312406,1.15573362178674,7.8857691819271,2.20098139381795e-38,0.5820280283701487,PASS,
130,MGLL,EC-PCV,1.19828062441356,2.65016695880143,2.78868605918061,0.616560375460525,8.46179808107688,1.61003692379908e-22,0.5819989321741998,PASS,
131,FHL5,Prv-CCL19,2.59588157277571,2.26586303508669,2.40276648846417,0.681206886075266,8.7658268546945,5.16111143597477e-37,0.5819350882417826,PASS,
132,INPP4B,Prv-CCL19,2.65263891516825,3.65366038824598,3.68388506581343,1.92368672786077,9.08694203457118,1.53343466254439e-67,0.5818085618587768,PASS,
134,LMCD1,dS2,2.13483975220893,2.10813822348058,3.0409623888328,0.714224411053347,7.17818731370612,2.79973178117021e-167,0.5814297036793955,PASS,
135,FOS,dS2,3.04865013284172,4.52602548602632,0.282603158495263,1.08906949869781,10.1629221647588,0,0.5814067949574256,PASS,
136,CITED2,Prv-CCL19,3.78167669191062,2.36981163571047,2.02825371142076,0.932900290462058,8.90792931368937,4.8725926076873e-43,0.5812606322489557,PASS,
137,SKAP2,EC-aPCV,1.58050658150862,3.06177833107332,3.0844296364794,1.12235527598249,8.35928991309346,1.72501083738315e-18,0.580802010617741,PASS,
138,DNASE1L3,EC-PCV,2.47003588849652,2.40292812160195,2.13091733263911,0.638718196149943,8.20132058501237,7.30997514038718e-07,0.5803181274100406,PASS,
139,HSPA1B,Mɸ1-LYVE1,1.77800063295601,2.55625950273567,1.73008270653755,0.321352741188322,7.8212685263511,3.59816919112715e-27,0.5802831567673075,PASS,
140,SOD3,Prv-CCL19,1.19216400389292,2.64623966540604,2.53398378862977,0.540094535745505,9.78195094123297,2.64794947052061e-79,0.5800999412599631,PASS,
142,MEOX1,EC-aPCV,0.427698200428083,2.83766578738663,2.88550285302255,0.526872213910016,8.50837366282836,1.67422185265053e-34,0.5799228958905818,PASS,
144,PCDH19,EC-aPCV,0.768315524399762,2.73241502232947,2.63782193071839,0.497851097964159,8.23635679593288,1.88488459522685e-18,0.5793504457415085,PASS,
145,CTSH,EC-tip,2.32366127680906,3.14321594199552,2.84040036563657,1.32466064641579,7.7440470454244,1.48868135634875e-98,0.5790882528683454,PASS,
146,THBS1,cDC2,3.03929401816852,1.0855041032735,3.11460903769686,0.396500524689632,7.26470400990615,8.98721025286218e-32,0.5788406075137575,PASS,
149,HAS2,dS2,1.96910688990854,1.68046916590187,2.66452390183643,0.302369435298072,7.12081225375892,1.96442484259441e-154,0.5773555800990386,PASS,
152,JUN,EC-aPCV,2.85679917231834,2.31771686407321,2.20637139381375,0.814858686469435,9.41071435313147,7.34207205516169e-07,0.5760312050316497,PASS,
153,SPRY1,EC-PCV,1.54175758622163,1.97517909458107,1.92962258044073,0.0491256839435043,9.10519654365388,2.61327890406152e-10,0.5758767729785796,PASS,
154,TSC22D3,Prv-CCL19,1.01431727524243,1.9465373457524,2.32400498268294,0.0245128569935275,9.20889551055597,9.89477024852249e-50,0.5756375976866233,PASS,
155,F13A1,cDC2,3.58428038608295,1.42796267014753,2.82931418772817,0.73998815186532,7.27546700476912,5.543156102688831e-35,0.5751744964763746,PASS,
156,SNAI1,EC-aPCV,0.702224157657926,2.58438968745067,2.69134462407191,0.493610424558232,8.22310671330087,2.45495304005739e-14,0.5750760715435737,PASS,
157,SERPINE1,dS2,1.3250876650273,2.61441221250397,1.17296043517459,0.0504159539884008,7.29071789750028,1.52661744524149e-290,0.5747053413762431,PASS,
159,DAAM1,EC-PCV,2.26489054167862,3.03741443947567,3.46499984260814,1.54423275783577,8.61289626885455,7.79671113331545e-18,0.5745067774285859,PASS,
162,MT1E,Prv-CCL19,1.6980729833974,2.19008309447683,2.44337733652707,0.514186297511627,9.36499559563778,6.296609032990169e-42,0.5740788079781155,PASS,
163,KLF4,EC-aPCV,1.56296244293439,2.06997925233232,1.98312148469333,0.206481463265428,8.94870601267291,1.26682674956516e-06,0.5732297614544476,PASS,
164,CADM3-AS1,EC-aPCV,0.725195587599027,2.22705328030718,2.3817055864278,0.197427504436679,8.31199126291236,3.64874914118417e-17,0.5726650480967033,PASS,
165,GFRA1,Prv-CCL19,0.029388583102134,2.55618076606784,2.55190940317868,0.217597766206897,8.51102850636917,1.52205725442827e-65,0.5724943995159862,PASS,
170,SAP30,Mɸ4-infiltrated,3.41836531151148,1.99992096554999,1.2533026313766,0.460548231078313,7.86103610683125,1.34458539202338e-88,0.5709088645999325,PASS,
171,MAOA,Prv-CCL19,1.4777642056892,2.24253219974139,2.30090488218171,0.478436184909803,8.48402768885108,2.32572201430032e-37,0.5707709530802657,PASS,
176,STEAP4,Prv-CCL19,4.43141950860571,6.01133270600813,5.8143410509221,3.8815844532809,10.6041969494899,3.20261622272194e-113,0.569614593839357,PASS,
177,EDNRB,EC-tip,3.46310098300587,1.8277969383944,2.1211228731896,0.778637893247054,7.51005801854201,1.09652225565991e-168,0.5691617083436119,PASS,
182,TCN2,Mɸ1-LYVE1,3.00780860492845,1.74700118137903,2.10246082132271,0.617999268905905,8.13020329110856,2.48681884218197e-107,0.5679960243602907,PASS,
184,TGFBR3,Prv-CCL19,2.10557665723325,1.79436328933611,2.20446878075437,0.424646478016844,8.54198149436071,4.77373509029459e-31,0.5677825767793786,PASS,
185,TSC22D3,cDC2,2.25216683604993,1.7622966295293,1.76342683324758,0.260168147807486,8.82027522755449,6.206595076986091e-32,0.5677124862208015,PASS,
186,LDB3,Prv-CCL19,0.87005060097355,1.96036552745551,2.11685557497908,0.0760781780696013,8.40070487032499,2.75396874668238e-37,0.5677086798478024,PASS,
188,PLAC9,Prv-CCL19,2.03626486969331,3.8146285718661,3.80884139917813,2.05360532816238,9.64841832065928,6.016672926396119e-92,0.567656796698451,PASS,
189,CCL2,EC-PCV,0.0960082275010044,4.12903977091425,2.92687164577342,1.32834986143355,8.67893858087176,1.0512950425711e-22,0.5675882773758024,PASS,
191,FKBP5,Mɸ4-infiltrated,3.35613373568047,2.02176428984804,0.842613980826138,0.349553878565985,8.2264683135992,3.19670222740752e-112,0.5669937438117743,PASS,
193,PLPP3,Mɸ1-LYVE1,2.81776767864506,2.00134050104144,1.94936194354172,0.674842575567142,7.52295146615644,2.37565081736191e-52,0.5668703206883623,PASS,
194,FOSL2,Mɸ1-LYVE1,0.844038214395226,2.02337855979095,1.95484480184775,0.058746090780012,7.58715331396074,1.063978786675e-55,0.5666895564357005,PASS,
195,HBEGF,EC-tip,1.17307499323484,2.48025082931823,2.18229653400258,0.550455785534478,7.40606583621352,1.57667720037271e-62,0.5666469873125267,PASS,
